split,surface,model,n,r2,rmse_eV,rmse_meV,mae_eV,mae_meV,mbe_truth_minus_prediction_eV,mbe_truth_minus_prediction_meV,readme_consistent
test,HSR,fixed_beta_plus_residual_mlp_recursive_calibrated,1822,0.6567017275226072,0.0138417252920742,13.841725292074273,0.0106759499923218,10.675949992321843,-0.0010062969920911,-1.0062969920911655,True
test,TSR,fixed_beta_plus_residual_mlp_recursive_calibrated,1822,0.7794826613388018,0.0141903030475531,14.190303047553163,0.0103116063161853,10.311606316185326,-0.0004818647961348,-0.4818647961348513,True
